customer_id,name,gender,age,country,subscription_plan,signup_date,last_login,total_watch_hours,avg_watch_per_week,device_type,payment_method,tenure_months,churned,preferred_genre,total_movies_watched,satisfaction_score,complaints_raised,auto_renewal_enabled
C0001,Tara,Other,45,United States,Free Trial,2024-01-25,,227.27,2.71,Mobile,Debit Card,21,1,Drama,389,4.59,0,0
C0002,Mark,Male,66,Australia,Basic,2024-10-31,2026-03-21,30.96,0.65,Tablet,UPI,12,0,Drama,224,8.07,0,1
C0003,Christina,Male,64,Germany,Free Trial,2023-04-19,2024-12-08,766.2,6.39,Tablet,Credit Card,30,1,Romance,193,6.2,0,1
C0004,Kyle,Male,32,Australia,Free Trial,2023-05-14,2026-07-17,506.63,4.37,Tablet,UPI,29,0,Documentary,45,5.12,1,1
C0005,Ian,Other,58,India,Basic,2024-06-09,2027-01-23,298.22,4.66,Laptop,PayPal,16,0,Romance,369,7.89,0,0
C0006,Sherry,Male,70,United States,Standard,2023-03-28,2025-06-12,741.06,5.98,Tablet,UPI,31,1,Science Fiction,441,7.97,0,0
C0007,Richard,Male,34,India,Basic,2024-03-05,2024-08-17,754.9,9.93,Smart TV,NetBanking,19,1,Science Fiction,212,7.8,0,1
C0008,Laura,Male,58,India,Premium,2025-02-22,2027-08-18,325.53,10.17,Mobile,PayPal,8,0,Drama,262,4.8,0,0
C0009,Taylor,Other,52,Australia,Standard,2023-01-21,2025-04-11,379.76,2.88,Smart TV,Credit Card,33,1,Romance,15,8.99,0,0
C0010,Sarah,Other,37,Australia,Basic,2023-09-03,2025-05-26,368.44,3.68,Laptop,UPI,25,1,Science Fiction,266,5.53,0,0
C0011,John,Male,21,India,Free Trial,2024-09-17,2025-09-12,625.11,12.02,Mobile,PayPal,13,0,Comedy,260,7.47,2,1
C0012,Mary,Male,52,Australia,Basic,2023-09-07,2024-02-25,430.84,4.31,Smart TV,PayPal,25,1,Drama,291,6.76,0,1
C0013,William,Other,32,United States,Free Trial,2025-03-01,2027-05-04,418.88,14.96,Mobile,Debit Card,7,0,Action,20,4.37,0,0
C0014,Tiffany,Other,54,France,Premium,2023-03-19,2023-09-03,689.11,5.56,Laptop,PayPal,31,1,Action,258,5.62,0,0
C0015,Gail,Male,43,Canada,Standard,2025-10-26,2028-03-07,86.58,86.58,Mobile,Debit Card,0,0,Thriller,452,6.38,0,0
C0016,Dean,Other,24,United States,Free Trial,2024-04-30,2025-06-26,364.4,5.06,Mobile,Debit Card,18,1,Thriller,457,6.68,0,1
C0017,Chelsey,Female,36,Germany,Premium,2023-10-30,2024-11-03,390.27,4.07,Laptop,Debit Card,24,1,Documentary,204,4.34,3,1
C0018,Brittany,Male,50,United States,Basic,2024-03-07,2025-12-04,56.2,0.74,Mobile,NetBanking,19,0,Science Fiction,39,8.34,3,0
C0019,Jason,Female,60,France,Standard,2024-03-05,2024-08-21,195.81,2.58,Smart TV,Debit Card,19,1,Action,306,7.3,0,0
C0020,Christopher,Male,47,France,Free Trial,2024-07-18,2026-05-22,322.67,5.38,Mobile,NetBanking,15,0,Science Fiction,485,6.65,0,0
C0021,Kevin,Other,63,United Kingdom,Free Trial,2022-12-01,2024-03-11,114.64,0.84,Smart TV,Credit Card,34,1,Romance,199,9.1,0,1
C0022,Sierra,Male,61,Canada,Standard,2024-07-05,2025-05-06,712.87,11.88,Tablet,UPI,15,1,Science Fiction,319,5.58,0,1
C0023,Ronald,Male,65,Germany,Premium,2024-07-12,2024-11-23,344.62,5.74,Mobile,Credit Card,15,1,Romance,180,,0,1
C0024,Kim,Male,20,United Kingdom,Standard,2025-01-24,2025-07-27,555.91,15.44,Mobile,UPI,9,1,Drama,308,8.84,0,1
C0025,Richard,Male,28,Australia,Basic,2023-08-02,2024-11-04,536.88,5.16,Tablet,Credit Card,26,1,Romance,218,9.13,0,0
C0026,Sara,Other,24,Germany,Free Trial,2024-05-14,2025-06-15,272.43,4.01,Tablet,Debit Card,17,1,Thriller,425,9.01,0,0
C0027,Karen,Female,35,Australia,Free Trial,2022-11-19,2024-01-31,373.64,2.67,Smart TV,UPI,35,1,Romance,124,9.05,1,1
C0028,James,Other,34,United States,Free Trial,2024-05-10,2027-04-18,785.11,11.55,Tablet,UPI,17,0,Comedy,459,4.16,0,0
C0029,Paige,Other,69,France,Basic,2023-05-11,2025-03-13,787.55,6.79,Smart TV,PayPal,29,1,Action,140,7.34,3,0
C0030,Maria,Other,44,United Kingdom,Premium,2023-08-30,2024-02-19,737.41,7.09,Smart TV,NetBanking,26,1,Comedy,378,8.92,0,1
C0031,Jay,Other,18,United Kingdom,Standard,2023-03-21,2024-01-05,535.29,4.32,Laptop,PayPal,31,1,Thriller,325,9.24,0,1
C0032,Erica,Female,50,Canada,Standard,2024-01-20,2025-12-09,359.31,4.28,Mobile,Debit Card,21,0,Drama,417,8.6,0,0
C0033,Deanna,Female,44,Canada,Basic,2025-10-09,2027-08-05,167.31,167.31,Tablet,PayPal,0,0,Action,253,,0,0
C0034,Thomas,Male,69,Canada,Premium,2022-11-19,2025-03-16,528.29,3.77,Mobile,NetBanking,35,1,Action,463,8.99,3,0
C0035,James,Other,70,Canada,Premium,2025-02-13,2026-08-07,105.87,3.31,Tablet,Debit Card,8,0,Drama,296,7.87,0,1
C0036,Gary,Female,46,United States,Standard,2024-01-08,2026-10-06,603.9,7.19,Laptop,UPI,21,0,Documentary,276,8.44,0,0
C0037,Danielle,Female,44,United Kingdom,Premium,2025-03-12,2027-02-27,436.72,15.6,Tablet,Credit Card,7,0,Drama,88,6.22,0,0
C0038,Nina,Female,18,United Kingdom,Standard,2023-11-26,2025-02-21,317.69,3.45,Tablet,PayPal,23,1,Documentary,448,8.03,0,1
C0039,Teresa,Female,39,Canada,Premium,2025-10-19,2028-11-24,441.44,441.44,Laptop,PayPal,0,0,Comedy,149,6.83,0,0
C0040,Elizabeth,Female,29,United States,Standard,2024-02-19,2024-12-06,431.96,5.4,Tablet,UPI,20,1,Thriller,52,7.85,0,0
C0041,Jennifer,Female,19,Canada,Free Trial,2023-04-14,2024-07-20,276.63,2.31,Smart TV,Debit Card,30,1,Thriller,225,9.52,0,0
C0042,Teresa,Other,27,India,Basic,2025-10-13,2026-04-01,524.89,524.89,Tablet,Credit Card,0,0,Documentary,136,,0,0
C0043,Rebecca,Male,37,United States,Free Trial,2023-08-02,2026-10-30,377.38,3.63,Smart TV,NetBanking,26,0,Romance,320,4.97,0,0
C0044,Paul,Other,68,United States,Standard,2023-03-25,2025-05-31,574.86,4.64,Tablet,UPI,31,1,Action,134,8.82,2,0
C0045,William,Other,27,Germany,Basic,2024-07-14,2025-01-01,279.57,4.66,Smart TV,NetBanking,15,1,Documentary,231,6.84,0,1
C0046,Kyle,Female,46,India,Premium,2024-04-10,2027-05-17,377.25,5.24,Tablet,UPI,18,0,Documentary,446,5.56,0,0
C0047,Crystal,Other,18,France,Basic,2025-04-08,2025-07-05,266.76,11.12,Mobile,Debit Card,6,1,Thriller,184,8.63,0,1
C0048,Jennifer,Female,32,Germany,Basic,2023-08-24,2026-01-02,608.95,5.86,Smart TV,NetBanking,26,0,Science Fiction,239,8.13,0,0
C0049,Toni,Female,34,India,Free Trial,2025-01-13,2027-03-09,429.43,11.93,Laptop,UPI,9,0,Thriller,190,7.19,0,1
C0050,Sean,Male,30,United Kingdom,Basic,2025-05-24,2026-02-22,761.19,38.06,Smart TV,Debit Card,5,0,Science Fiction,257,5.26,0,1
C0051,Patricia,Other,66,Germany,Free Trial,2024-08-01,,431.97,7.71,Mobile,NetBanking,14,1,Romance,37,,0,0
C0052,Vincent,Female,49,United States,Free Trial,2023-05-27,2025-01-28,357.97,3.09,Laptop,Debit Card,29,1,Drama,451,5.46,0,0
C0053,Jennifer,Other,42,Germany,Premium,2023-09-30,2026-12-25,77.29,0.77,Smart TV,NetBanking,25,0,Drama,320,8.43,0,0
C0054,Christopher,Female,60,United States,Basic,2025-04-17,2027-10-12,500.61,20.86,Laptop,Debit Card,6,0,Comedy,400,4.58,0,0
C0055,Michael,Other,47,United States,Basic,2023-03-08,2026-05-11,12.11,0.1,Smart TV,NetBanking,31,0,Thriller,26,6.73,0,1
C0056,Trevor,Other,65,Australia,Standard,2025-09-16,2026-11-25,440.2,110.05,Tablet,Credit Card,1,0,Science Fiction,82,5.54,1,1
C0057,Andrea,Other,38,France,Standard,2023-07-13,2026-03-28,562.79,5.21,Mobile,Credit Card,27,0,Romance,51,6.86,0,1
C0058,Andrew,Other,20,Australia,Basic,2025-06-23,2026-11-03,670.41,41.9,Tablet,NetBanking,4,0,Comedy,401,4.12,0,1
C0059,John,Female,38,Canada,Free Trial,2025-01-11,2027-08-04,153.38,4.26,Laptop,UPI,9,0,Comedy,56,8.72,0,1
